city|location|price|bedrooms|baths|size
Lahore|DHA Phase 6, DHA Defence|86000000|5|6|4500
Lahore|Goldcrest Mall & Residency, DHA Phase 4|26500000|1|2|855
Lahore|Al-Kareem Premier Housing Scheme, Lahore|12200000|0|0|675
Lahore|Johar Town Phase 2, Johar Town|29800000|5|6|1125
Lahore|Wapda Town Phase 1, Wapda Town|49000000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|26200000|5|5|1125
Lahore|Wapda Town Phase 2, Wapda Town|39800000|5|6|2250
Lahore|Johar Town, Lahore|27500000|4|5|1125
Lahore|Wapda Town Phase 1, Wapda Town|48500000|5|6|2250
Lahore|DHA 11 Rahbar, Lahore|20000000|3|4|1125
Lahore|Punjab Coop Housing Society, Lahore|61000000|7|6|4500
Lahore|DHA 9 Town, DHA Defence|29000000|3|4|1125
Lahore|New Lahore City, Lahore|10500000|3|4|1125
Lahore|DHA Phase 5 - Block H, DHA Phase 5|77500000|6|6|4500
Lahore|Central Park Housing Scheme, Lahore|26000000|5|5|2250
Lahore|DHA Phase 3, DHA Defence|165000000|5|6|9000
Lahore|DHA 9 Town, DHA Defence|28000000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|255000000|6|6|9000
Lahore|Central Park Housing Scheme, Lahore|17500000|4|4|1125
Lahore|Central Park Housing Scheme, Lahore|21000000|5|5|2250
Lahore|Central Park Housing Scheme, Lahore|29300000|5|5|2250
Lahore|DHA Phase 6, DHA Defence|300000000|6|6|9000
Lahore|DHA Phase 6 - Block J, DHA Phase 6|190000000|6|6|4500
Lahore|Mateen Avenue - Block B, Mateen Avenue|11500000|3|3|675
Lahore|Al Makkah Colony Welfare Society, Lahore|18500000|3|4|1125
Lahore|DHA 9 Town, DHA Defence|16500000|3|4|1125
Lahore|Park View City, Lahore|16300000|4|4|1125
Lahore|Park View City - Topaz Extension Block, Park View City|19000000|4|4|1125
Lahore|Punjab University Society Phase 2, Punjab University Employees Society|42500000|5|6|2250
Lahore|Lake City, Raiwind Road|31900000|5|5|1350
Lahore|Model Town, Lahore|120000000|6|6|4500
Lahore|DHA Phase 6, DHA Defence|87500000|5|6|4500
Lahore|DHA Phase 6 - Block L, DHA Phase 6|93500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|67500000|5|6|4500
Lahore|Bahria Town - Sector C, Bahria Town|39800000|5|6|2475
Lahore|Bahria Town - Block CC, Bahria Town - Sector D|28000000|3|4|1688
Lahore|Lake City - Sector M7 - Block B, Lake City - Sector M-7|21500000|4|5|1125
Lahore|Lake City - Sector M7 - Block C, Lake City - Sector M-7|22000000|4|4|1575
Lahore|DHA Phase 6, DHA Defence|91500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|108500000|6|7|4500
Lahore|DHA 9 Town - Block C, DHA 9 Town|22900000|3|4|1125
Lahore|Central Park Housing Scheme, Lahore|29800000|5|5|2250
Lahore|Park View City, Lahore|12000000|4|4|1125
Lahore|Park View City, Lahore|17500000|4|4|1125
Lahore|Township Sector C2 - Block 5, Township - Sector C2|14500000|8|6|900
Lahore|Park View City, Lahore|15500000|4|4|1125
Lahore|DHA 9 Town, DHA Defence|19500000|3|4|1125
Lahore|Park View City, Lahore|15000000|4|4|1125
Lahore|Lahore Medical Housing Society, Lahore|15000000|3|4|900
Lahore|Park View City, Lahore|18000000|4|4|1125
Lahore|DHA Phase 7, DHA Defence|71500000|5|6|4500
Lahore|DHA Phase 6 - Block H, DHA Phase 6|137500000|5|6|9000
Lahore|DHA Phase 8, DHA Defence|37000000|4|5|2250
